"","Ign","Rounds","FBSR","clutchP","KPR","Acs","FBSR_order","clutchP_order","KPR_order","Acs_order"
"1","keznit",873,51.4754098360656,19.7674418604651,0.9,251,50,12,3,1
"2","Derke",1534,56.7278287461774,15.625,0.87,248,15,63,4,2
"3","zekken",1445,51.4227642276423,23.1404958677686,0.82,243,51,3,15,3
"4","Sayf",1064,56.1349693251534,16.0377358490566,0.84,241,20,57,8,4
"5","aspas",1618,60.7675906183369,17.4698795180723,0.87,240,3,37,5,5
"6","ScreaM",671,53.7549407114625,8.7719298245614,0.9,239,29,133,2,6
"7","QutionerX",640,50.9009009009009,18.0327868852459,0.95,238,56,31,1,7
"8","Jinggg",1498,53.4704370179949,14.2857142857143,0.81,236,33,82,20,8
"9","leaf",912,50.4424778761062,22.4137931034483,0.83,234,61,4,10,9
"10","cNed",472,56.953642384106,11.7647058823529,0.85,233,13,115,7,10
"11","Dep",915,52.3489932885906,15.1898734177215,0.83,230,43,70,12,11
"12","BuZz",1988,50.1650165016502,16.9491525423729,0.8,229,64,42,23,12
"13","Twisten",667,51.8518518518518,16.1764705882353,0.81,228,47,53,16,13
"14","Sayaplayer",1476,52.4193548387097,19.5488721804511,0.81,227,42,14,18,15
"15","trexx",846,46.8421052631579,14.1509433962264,0.83,227,98,83,9,14
"16","Less",1618,56.794425087108,18.4331797235023,0.81,226,14,27,19,16
"17","Demon1",1502,58.5561497326203,13.8297872340426,0.83,226,8,86,13,18
"18","garnetS",620,56.6037735849057,11.1111111111111,0.77,226,17,124,35,17
"19","Meteor",1020,53.8690476190476,13.1313131313131,0.78,224,28,99,27,19
"20","Alfajer",1429,58.8679245283019,14.8717948717949,0.83,224,6,74,14,21
"21","cNed",1335,51.1221945137157,12.6050420168067,0.78,224,54,103,29,20
"22","Cryocells",833,51.9031141868512,7.89473684210526,0.78,223,46,137,28,23
"23","something",1143,58.5714285714286,15.929203539823,0.81,223,7,59,17,22
"24","kiNgg",1124,53.3653846153846,18.1818181818182,0.77,222,34,29,34,24
"25","TenZ",1229,50.6369426751592,14.7826086956522,0.77,221,58,75,32,25
"26","dgzin",828,55.6851311953353,19.1780821917808,0.83,220,21,18,11,28
"27","Fit1nho",1230,56.9587628865979,13.5416666666667,0.79,220,12,92,25,27
"28","qw1",1134,53.5452322738386,16.0714285714286,0.8,220,32,55,22,26
"29","nAts",1315,52.6315789473684,10.1351351351351,0.78,219,40,129,26,30
"30","T3xture",542,55.0724637681159,15,0.79,219,25,71,24,29
"31","f0rsakeN",1612,53.0266343825666,13.5135135135135,0.75,218,35,93,41,31
"32","frz",880,56.6473988439306,11.7117117117117,0.75,217,16,117,40,32
"33","Cloud",1230,50.207468879668,18.3333333333333,0.78,217,63,28,30,33
"34","Nivera",694,57.0621468926554,18.0722891566265,0.85,216,11,30,6,34
"35","Foxy9",897,49.1071428571429,13.3333333333333,0.74,215,73,97,47,35
"36","ardiis",1430,57.2687224669604,12.0567375886525,0.76,215,9,110,36,36
"37","EJAY",621,46.5,11.6279069767442,0.75,213,103,119,42,37
"38","xffero",645,59.7826086956522,13.4020618556701,0.74,212,5,95,44,38
"39","Chronicle",1534,54.2857142857143,15.2542372881356,0.75,212,26,69,43,39
"40","Victor",1430,51.2605042016807,17.8571428571429,0.75,211,53,32,37,41
"41","k1Ng",891,48.4662576687117,15.702479338843,0.74,211,80,60,46,42
"42","Wolfen",731,46.1538461538462,7.84313725490196,0.8,211,105,139,21,40
